n,MSE
177,1.0067017928867112e-08
178,1.0067017928867112e-08
179,9.742977565271923e-09
180,9.742977565271922e-09
181,9.432936140626007e-09
182,9.432936140626007e-09
183,9.13614302643832e-09
184,9.13614302643832e-09
185,8.851895436914432e-09
186,8.851895436914432e-09
187,8.57953490704973e-09
188,8.57953490704973e-09
189,8.318444064014405e-09
190,8.318444064014405e-09
191,8.068043664623706e-09
192,8.068043664623704e-09
193,7.827789874471916e-09
194,7.827789874471916e-09
195,7.597171766778385e-09
196,7.597171766778385e-09
197,7.37570902118048e-09
198,7.37570902118048e-09
199,7.162949804661532e-09
200,7.162949804661533e-09
201,6.9584688185637584e-09
202,6.9584688185637584e-09
203,6.761865497174533e-09
204,6.761865497174533e-09
205,6.572762344773047e-09
206,6.572762344773047e-09
207,6.390803399293029e-09
208,6.390803399293029e-09
209,6.215652811833465e-09
210,6.215652811833465e-09
211,6.0469935323038885e-09
212,6.0469935323038885e-09
213,5.884526092344864e-09
214,5.884526092344864e-09
215,5.727967477506219e-09
216,5.727967477506219e-09
217,5.57705008139053e-09
218,5.57705008139053e-09
219,5.431520735101735e-09
220,5.431520735101735e-09
221,5.291139805971166e-09
222,5.291139805971166e-09
223,5.1556803600309e-09
224,5.1556803600309e-09
225,5.024927383222244e-09
226,5.024927383222244e-09
227,4.898677056724883e-09
228,4.898677056724883e-09
229,4.776736082226713e-09
230,4.776736082226713e-09
231,4.658921053288591e-09
232,4.658921053288591e-09
233,4.5450578692895985e-09
234,4.5450578692895985e-09
235,4.434981188739956e-09
236,4.434981188739956e-09
237,4.328533919002205e-09
238,4.328533919002205e-09
239,4.22556673972572e-09
240,4.22556673972572e-09
241,4.125937657498383e-09
242,4.125937657498383e-09
243,4.02951158943875e-09
244,4.02951158943875e-09
245,3.936159973629539e-09
246,3.936159973629539e-09
247,3.845760404457065e-09
248,3.845760404457065e-09
249,3.758196291085309e-09
250,3.758196291085309e-09
251,3.673356537420949e-09
252,3.673356537420949e-09
253,3.5911352420592727e-09
254,3.5911352420592727e-09
255,3.5114314168240014e-09
256,3.5114314168240014e-09
257,3.4341487226070076e-09
258,3.4341487226070076e-09
259,3.359195221323943e-09
260,3.359195221323943e-09
261,3.286483142891403e-09
